Simulation Duration,Received Current Data,Received Voltage Data,METEOR,Received Humidty Data,Received Wind Speed Data,Received Global Irradiance Data,Up Time,ToCurrent,ToRad,ToHum,ToTemp,ToVoltage,ToWind,wimax,wlan,totalUpload,turbinEthernetDelay,TurbinUploadResponseTime,WCNV,WGEN,WMET,WNAC,WROT,WTOW,WTRF,WTRM,WYAW,WifiYerelUploadTime,wirelessGESDelay,INVERTERAKIMwifiges,INVERTERVOLTAJwifiges,RADYANTISIMAwifiges,RUZGARHIZIwifiges,METEORwifiges,FtpUploadResponseTimesecwifiLoc,WirelessLANDelaysecwifiLoc,TurbinZigBeeApplicationTrafficReceived,TurbinZigBeeApplicationEndtoendDelayseconds,GESYerelZigbee1EndtoendDelayseconds,GESYerelZigBeeApplicationTrafficReceivedbitssec,Senaryo1WimaxDelay,Senaryo1WifiDelay,TrafficReceivedbytessecINVERTERAKIM,TrafficReceivedbytessecINVERTERVOLTAJ,TrafficReceivedbytessecMETEOR,TrafficReceivedbytessecRADYANTISIMA,TrafficReceivedbytessecRUZGARHIZI,TrafficReceivedbytessecWCNV,TrafficReceivedbytessecWGEN,TrafficReceivedbytessecWMET,TrafficReceivedbytessecWNAC,TrafficReceivedbytessecWROT,TrafficReceivedbytessecWTOW,TrafficReceivedbytessecWTRF,TrafficReceivedbytessecWTRM,TrafficReceivedbytessecWYAW,eksen0,eksen1,eksen2,eksen3,eksen4,eksen5,eksen6,eksen7,eksen8,eksen9,eksen10,eksen11,eksen12,eksen13,eksen14,sim1total,Senaryo1uploadResponseTime,Senaryo2UTPEthernet Delay,Senaryo2WimaxDelay,Senaryo2uploadResponseTime,TOTALReceivedAllScenario,fiberdelay,fiberresponse
0,14400,14400,10,2,6,200,0.205060002478,158400,2200,22,22,158400,66,0.044142378613,0.00156077213,0.396894228395,0.000534719922,0.214085000171,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.205060002478,0.034363801078,14400,14400,200,6,10,0.137755401993,0.006339924444,26106,1,1,18000,0.047918562817,0.000458066029,72000,72000,500,1000,2,75020,70020,40000,66048,60050,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.489951549577,0.00016009536,0.046873590147,0.450845622553,684460,0.000048990491,0.122582571415233
6,14400,14400,10,2,6,200,0.17726942722,158400,2200,22,22,158400,66,0.044203344723,0.001510889274,0.396487080056,0.00052258707,0.014388613364,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.149478851961,0.028156737287,14400,14400,200,6,10,0.062596606649,0.006306349648,60456,2,2,23420,0.048275264672,0.00043553976,72000,72000,500,1000,29,75020,70020,40000,66048,60050,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.475950308675,0.000151539328,0.049966201353,0.425295068267,684460,0.000065997437,0.113508784423098
12,14400,14400,10,2,6,200,0.16681578192,158400,2200,22,22,158400,66,0.044178440993,0.001518517182,0.396997017394,0.000522511767,0.01438685369,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.145908491322,0.027577129212,14400,14400,200,6,10,0.126774455191,0.00622283762,85914,4,6,27285,0.048478540113,0.000424039741,72000,72000,500,1000,30,75020,70020,40000,66048,60050,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.474274914951,0.000149954138,0.05048282579,0.422912400451,684460,0.000079423403,0.104434997430963
18,14400,14400,10,2,6,200,0.162510721031,158400,2200,22,22,158400,66,0.044130271847,0.001536200352,0.396984033698,0.000522585027,0.014388618326,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.149595538362,0.028475620474,14400,14400,200,6,10,0.061343862539,0.005953685365,88585,8,11,27801,0.048574366349,0.000417430924,72000,72000,500,1000,30,75020,70020,40000,66048,60050,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.474505139927,0.000149886105,0.050492270066,0.422885153991,684460,0.000084430466,0.0867932364292
24,14400,14400,10,2,6,200,0.15990615235,158400,2200,22,22,158400,66,0.04412246218,0.001537206263,0.396984177818,0.000522586599,0.014388623344,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.149487877628,0.028325304074,14400,14400,200,6,10,0.063543389749,0.006292645076,88127,2,15,27414,0.04862208526,0.000416291761,72000,72000,500,1000,30,75020,70020,40000,66048,72060,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.47449182151,0.000149961724,0.050489180243,0.422556163427,684460,0.000075575865,0.10342337146595
30,14400,14400,10,2,6,200,0.157846238262,158400,2200,22,22,158400,66,0.044142491924,0.001533413416,0.397072446138,0.00052258497,0.014388600071,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.147546667819,0.027939111568,14400,14400,200,6,10,0.062024606105,0.006102168615,89997,14,20,26899,0.048672594715,0.000409805739,72000,72000,500,1000,30,75020,70020,40000,66048,72060,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.474783955481,0.000149901933,0.050617026551,0.42323501601,684460,0.000073119849,0.06864566244493
36,14400,14400,10,2,6,200,0.156541770351,158400,2200,22,22,158400,66,0.044138927603,0.001540452113,0.396988144882,0.000522511826,0.014386883433,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.148714962885,0.027458458456,14400,14400,200,6,10,0.06197031916,0.006058201496,85914,2,22,27156,0.048700080978,0.000407839945,72000,72000,500,1000,30,75020,70020,40000,66048,72060,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.47496426691,0.00014981305,0.050599138563,0.422803394551,684460,0.000071350351,0.068181598458
42,14400,14400,10,2,6,200,0.155822200694,158400,2200,22,22,158400,66,0.044161981505,0.001537317236,0.397060767424,0.000522586302,0.014388623966,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.1507852131,0.028707641149,14400,14400,200,6,10,0.061121595315,0.006029004138,86448,20,25,27350,0.048719274969,0.000407498844,72000,72000,500,1000,30,75020,70020,40000,66048,72060,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.474378344784,0.000149994511,0.050497775105,0.42272920056,684460,0.00007169677,0.068135094137
48,14400,14400,10,2,6,200,0.155196145916,158400,2200,22,22,158400,66,0.044167947671,0.00153643566,0.397060348004,0.000522585173,0.01438861492,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.150187707689,0.028809368652,14400,14400,200,6,10,0.06081827252,0.005950943885,85494,24,26,28123,0.048734637483,0.000406259928,72000,72000,500,1000,30,75020,70020,40000,66048,72060,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.474707889064,0.00014999257,0.050555644003,0.422758904754,684460,0.000071548122,0.068081247969
54,14400,14400,10,2,6,200,0.154934729969,158400,2200,22,22,158400,66,0.044186182746,0.001539096634,0.397131177547,0.000522585479,0.014388634479,15004,14004,8000,11008,12010,2006,8006,12016,6004,0.152581986447,0.028727255657,14400,14400,200,6,10,0.125553310933,0.005904569672,88127,27,3,27478,0.048747825986,0.000406340852,72000,72000,500,1000,30,75020,70020,40000,66048,72060,12036,48036,72096,36024,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,702228,0.474686107927,0.000149942181,0.050553646923,0.422792923074,684460,0.000071243368,0.068160331791
